鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),正光二街8巷1~30號,17.17,都市：其他:住宅區,,,1091015,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1100104,86.71,0,0,0,無,有,9200000,106101,,0.0,0,預售屋、或土地及建物分次登記案件;,RPPNMLPLJHGGFAH47DA,47.31,0.0,13.92,有,
桃園區,房地(土地+建物)+車位,幸福路151~180號,25.11,都市：其他:住宅區,,,1091228,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,170.49,3,2,2,有,有,14100000,84039,坡道平面,25.32,1900000,,RPPNMLKLJHGGFAH96DA,84.38,5.47,7.05,有,
桃園區,房地(土地+建物),明德街13巷1~30號,10.97,都市：其他:住宅區,,,1091209,土地1建物1車位0,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831005,99.99000000000001,3,2,2,有,有,5000000,50005,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTTMLMLJHGGFAH18DA,71.27,5.33,8.46,有,075
桃園區,房地(土地+建物)+車位,文中三路1~30號,16.53,都市：其他:住宅區,,,1091222,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081015,129.51,3,2,1,有,有,9400000,75772,坡道平面,26.57,1600000,,RPVOMLSJJHGGFAH28DA,64.52,0.0,5.84,有,
桃園區,房地(土地+建物)+車位,桃鶯路361~390號,20.22,都市：其他:住宅區,,,1100105,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,165.97,3,2,2,有,有,9350000,56335,坡道平面,33.93,0,陽台外推;,RPOPMLSJJHGGFAH67DA,78.53,3.89,10.58,有,076
桃園區,房地(土地+建物),大興西路二段241~270號,8.8,都市：其他:住宅區,,,1100111,土地1建物1車位0,十七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841103,102.44999999999999,3,2,2,有,有,6000000,58565,,0.0,0,,RPVQMLOKJHGGFAH18DA,65.82,2.71,8.88,有,
桃園區,房地(土地+建物)+車位,正光二街31~60號,22.44,都市：其他:住宅區,,,1090922,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091222,156.73000000000002,3,2,2,有,有,11930000,76219,坡道平面,24.48,1850000,預售屋、或土地及建物分次登記案件;,RPPUNLSKJHGGFAH48DA,78.18,0.99,10.73,有,
桃園區,房地(土地+建物)+車位,正光二街61~90號,22.74,都市：其他:住宅區,,,1090714,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091222,160.54,3,2,2,有,有,11880000,74313,坡道平面,25.57,1850000,預售屋、或土地及建物分次登記案件;,RPSVNLSKJHGGFAH88DA,79.5,1.56,10.88,有,
桃園區,房地(土地+建物)+車位,文中三路31~60號,27.97,都市：其他:住宅區,,,1091214,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081015,224.85000000000002,4,2,2,有,有,17900000,83010,坡道平面,51.98,3550000,,RPSOMLTKJHGGFAH18DA,104.18,0.0,14.0,有,
桃園區,房地(土地+建物),寶山街181~210號,20.57,都市：其他:住宅區,,,1091231,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830714,116.08999999999999,3,2,2,有,無,5500000,47377,,0.0,0,,RPWSMLTKJHGGFAH98DA,88.24,0.72,11.86,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080304,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10200000,80306,坡道平面,24.85,1800000,該契約於109年10月20日轉售，交易總價1055萬元。預售屋、或土地及建物分次登記案件;,RPQOMLLKJHGGFAH17DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080305,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10280000,82983,坡道平面,24.85,1600000,該契約於109年8月25日轉售，交易總價1060萬元。預售屋、或土地及建物分次登記案件;,RPSOMLLKJHGGFAH37DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080419,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10450000,82218,坡道平面,24.85,1850000,該契約於109年5月8日轉售，交易總價1080萬元。預售屋、或土地及建物分次登記案件;,RPTOMLLKJHGGFAH47DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,28.86,都市：其他:住宅區,,,1080311,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,168.9,3,2,2,有,有,13890000,83929,坡道平面,24.85,1800000,預售屋、或土地及建物分次登記案件;,RPUOMLLKJHGGFAH57DA,89.77,0.0,11.82,有,
