鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
烏日區,房地(土地+建物)+車位,環河路五段241~270號,31.26,都市：其他:第二種住宅區,,,1091229,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030519,158.47,3,2,2,有,有,8640000,54521,坡道平面,31.39,0,,RPTSMLSJKHGGFIB78DA,79.17,10.22,0.0,有,087
霧峰區,房地(土地+建物),中正路511~540號,9.93,都市：其他:商業區,,,1100115,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1030317,60.06999999999999,2,0,2,有,有,3200000,53271,,0.0,0,,RPTOMLMJKHGGFIB77DA,36.05,0.0,0.0,有,
霧峰區,土地,霧峰段北溝小段31~60地號,13409.0,,山坡地保育區,農牧用地,1100117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,746,,0.0,0,,RPQWMLRKKHGGFIB88DA,0.0,0.0,0.0,無,
大里區,土地,仁城段1~30地號,148.62,,特定農業區,農牧用地,1090724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,53829,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;未登記建物;,RPXTMLRKKHGGFIB66DA,0.0,0.0,0.0,無,
霧峰區,房地(土地+建物),柳豐路125巷1~30號,97.75,,鄉村區,乙種建築用地,1090219,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090925,210.04,4,2,4,有,有,13300000,63321,,0.0,0,,RPPQMLTJKHGGFIB28DA,191.65,18.39,0.0,無,
大里區,房地(土地+建物),長興一街61~90號,22.28,都市：其他:住宅區,,,1091220,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0791010,79.29,3,2,2,有,無,3260000,41115,,0.0,0,,RPUNMLPJKHGGFIB08DA,57.89,7.06,0.0,無,
太平區,建物,太平一街151~180號,0.0,,,,1100118,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0691220,101.87,4,2,3,有,無,1000000,9816,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;未登記建物;,RPVNMLKLJHGGFJB87DA,101.87,0.0,0.0,無,
太平區,房地(土地+建物),宜欣路57巷18弄1~30號,92.89,都市：其他:住宅區,,,1100111,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0961101,226.44,4,3,5,有,無,16150000,71321,,0.0,0,,RPRNMLTKJHGGFJB28DA,217.98,8.46,0.0,無,
太平區,房地(土地+建物),北田路31~60號,98.25,,鄉村區,乙種建築用地,1091223,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0570000,34.85,6,3,2,有,無,5300000,152080,,0.0,0,其他增建;,RPUNMLTKJHGGFJB58DA,34.85,0.0,0.0,無,
太平區,房地(土地+建物),長億南街99巷31~60號,58.21,非都市： ; 非都市編定：,,,1091209,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1091222,175.42000000000002,5,2,4,有,無,15180000,86535,,0.0,0,,RPUNMLRLJHGGFJB48DA,158.6,14.33,0.0,無,
太平區,房地(土地+建物),長億南街99巷31~60號,58.21,,,,1090512,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1091222,175.78,5,2,3,有,無,14500000,82489,,0.0,0,,RPVNMLRLJHGGFJB58DA,158.6,14.69,0.0,無,
太平區,房地(土地+建物),長億南街99巷31~60號,73.92,,,,1081007,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1091222,186.35000000000002,5,2,5,有,無,16800000,90153,,0.0,0,,RPXNMLRLJHGGFJB78DA,168.78,15.08,0.0,無,
太平區,房地(土地+建物),長億南街99巷31~60號,72.33,,,,1090516,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1091222,215.33,5,2,4,有,無,19000000,88237,,0.0,0,,RPOOMLRLJHGGFJB97DA,208.76,4.08,0.0,無,
太平區,房地(土地+建物),長億南街99巷31~60號,58.5,,,,1090726,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1091222,175.42000000000002,5,2,3,有,無,15000000,85509,,0.0,0,,RPPOMLRLJHGGFJB08DA,158.6,14.33,0.0,無,
太平區,房地(土地+建物),長億南街99巷31~60號,58.66,,,,1090525,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1091222,175.78,5,2,3,有,無,14680000,83513,,0.0,0,,RPQOMLRLJHGGFJB18DA,158.6,14.69,0.0,無,
太平區,房地(土地+建物),長億南街99巷31~60號,73.96,,,,1090301,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1091222,181.67000000000002,5,2,4,有,無,16800000,92475,,0.0,0,,RPROMLRLJHGGFJB28DA,163.88,15.3,0.0,無,
太平區,房地(土地+建物)+車位,太興路1~30號,12.63,都市：其他:商業區,,,1100113,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030626,147.94,3,2,2,有,有,9680000,65432,坡道平面,28.09,0,,RPPNMLKMJHGGFJB37DA,67.62,13.0,0.0,有,
太平區,房地(土地+建物),太平路421~450號,3.99,都市：其他:商業區,,,1091227,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0830610,30.369999999999997,1,0,1,有,無,1250000,41159,,0.0,0,,RPXOMLSLKIPFFJB37DA,20.93,0.0,0.0,有,
太平區,房地(土地+建物),新平路三段202巷1~30號,71.0,都市：其他:住宅區,,,1091231,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0721018,99.38,4,2,3,有,無,8380000,84323,,0.0,0,其他增建;,RPRPMLSLJHGGFJB48DA,84.3,15.08,0.0,無,
龍井區,土地,龍目井段水裡社小段1~30地號,105.0,非都市： ; 非都市編定：,,,1100201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1746800,16636,,0.0,0,包含公共設施保留地用地;,RPOOMLLJKHGGFKB37DA,0.0,0.0,0.0,無,
太平區,房地(土地+建物)+車位,成功東路191巷12弄1~30號,69.98,非都市： ; 非都市編定：,,,1070614,土地3建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090827,155.25,4,3,5,有,無,11890000,76586,一樓平面,0.0,0,預售屋、或土地及建物分次登記案件;,RPRNMLTJKHGGFJB28DA,155.25,0.0,0.0,無,
太平區,房地(土地+建物)+車位,成功東路191巷12弄1~30號,69.98,非都市： ; 非都市編定：,,,1070611,土地3建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090827,155.25,4,3,5,有,無,11890000,76586,一樓平面,0.0,0,預售屋、或土地及建物分次登記案件;,RPSNMLTJKHGGFJB38DA,155.25,0.0,0.0,無,
太平區,房地(土地+建物)+車位,成功東路191巷16弄1~30號,64.98,非都市： ; 非都市編定：,,,1070611,土地3建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090827,138.04,4,3,5,有,無,10780000,78093,一樓平面,0.0,0,預售屋、或土地及建物分次登記案件;,RPTNMLTJKHGGFJB48DA,135.6,2.44,0.0,無,
