鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
左營區,房地(土地+建物),重光路1~30號,17.96,都市：其他:第四種住宅區,,,1100111,土地1建物1車位0,一層，二層，騎樓，夾層,九層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0870513,123.38999999999999,3,2,2,有,有,8800000,71319,,0.0,0,夾層;,RPWOMLMKJHGGFEE97DA,91.11,10.88,0.0,有,161
左營區,房地(土地+建物)+車位,博愛四路1~30號,35.54,都市：其他:第五種住宅區,,,1091211,土地1建物1車位2,九層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1030924,414.13,0,0,0,無,有,25880000,62492,坡道平面,78.72,0,,RPPOMLKLJHGGFEE17DA,195.15,21.29,0.0,有,
左營區,房地(土地+建物)+車位,榮德街151~180號,15.8,都市：其他:第五種住宅區,,,1100105,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950830,140.78,3,2,2,有,有,7900000,56116,坡道平面,18.09,0,,RPVSMLPJJHGGFEE48DA,72.1,12.31,0.0,有,
楠梓區,房地(土地+建物),壽民路82巷1~30號,32.25,都市：其他:第五種住宅區,,,1091217,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680106,68.08,3,2,1,有,無,2830000,41569,,0.0,0,,RPOPMLRJJHGGFEE67DA,68.08,0.0,0.0,無,162
楠梓區,房地(土地+建物),右昌一巷192弄1~30號,118.0,都市：其他:第三種住宅區。,,,1100105,土地1建物1車位0,全,二層,透天厝,,加強磚造,0690919,85.68,5,2,3,有,無,7880000,91970,,0.0,0,增建部分:一樓空地.二樓後方.三樓整層,RPPNMLKKJHGGFEE96DA,85.68,0.0,0.0,無,
三民區,房地(土地+建物)+車位,大順二路661~690號,8.25,都市：其他:第五種商業區,,,1071104,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1091019,131.69,3,2,2,有,有,8860000,65823,坡道機械,9.24,800000,,RPUOMLRKKHGGFDE28DA,68.1,10.37,0.0,有,
三民區,房地(土地+建物),大順二路661~690號,4.72,都市：其他:第五種商業區,,,1080102,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1091019,75.56,2,1,1,有,有,5060000,66967,,0.0,0,,RPVOMLRKKHGGFDE38DA,45.05,3.2,0.0,有,
三民區,房地(土地+建物)+車位,大順二路661~690號,10.0,都市：其他:第五種商業區,,,1080126,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1091019,159.87,3,2,2,有,有,10650000,67254,坡道平面,17.87,1100000,,RPWOMLRKKHGGFDE48DA,77.39,13.59,0.0,有,
三民區,房地(土地+建物),鼎中路560巷91~120號,17.51,都市：其他:第三種住宅區。,,,1100110,土地1建物1車位0,八層，電梯樓梯間,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830208,110.96,3,2,2,有,有,4300000,38753,,0.0,0,陽台外推;,RPWQMLRKKHGGFDE68DA,84.29,8.9,0.0,有,163
三民區,房地(土地+建物),修武街31~60號,3.01,都市：其他:第四種商業區,,,1100201,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850625,29.75,1,0,1,有,有,1000000,33613,,0.0,0,,RPOOMLSKKHGGFDE77DA,21.03,0.0,0.0,有,
左營區,房地(土地+建物),新庄仔路73巷1~30號,15.95,都市：其他:第三種住宅區。,,,1091127,土地2建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820703,105.58,3,2,2,有,有,4500000,42622,,0.0,0,陽台外推;,RPRPMLRLJIPFFEE09DA,62.61,23.33,0.0,有,164
三民區,房地(土地+建物)+車位,天祥一路1~30號,18.71,都市：其他:第四種住宅區,,,1100109,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030312,139.64000000000001,3,2,2,有,有,8800000,63019,坡道平面,23.22,0,,RPQRMLPLJHGGFDE97DA,67.02,9.24,0.0,有,165
三民區,房地(土地+建物),河北一路91~120號,12.75,都市：其他:第二種特定商業專用區,,,1100107,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681122,38.9,2,2,1,有,無,4900000,125964,,0.0,0,本標的二樓牆面有壁癌情形，已詳實告知買方知悉，賣方已折讓價金，雙方合意就標的已知悉及未知悉之滲漏水皆由買方自行修繕處理，賣方不負民法規範滲漏水瑕疵擔保之責任。夾層;其他增建;,RPVOMLSJJHGGFDE28DA,38.9,0.0,0.0,無,
三民區,房地(土地+建物),義德路1~30號,21.75,都市：其他:第三種商業區,,,1100107,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730509,86.15,3,2,2,有,無,2250000,26117,,0.0,0,,RPWNMLMKJHGGFDE77DA,0.0,0.0,0.0,無,166
三民區,房地(土地+建物),大裕路132巷1~30號,23.42,都市：其他:第四種住宅區,,,1100113,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840119,123.58,4,2,2,有,有,4000000,32368,,0.0,0,,RPXOMLOKJHGGFDE18DA,88.67,9.13,0.0,有,167
三民區,房地(土地+建物),正忠路61~90號,7.06,都市：其他:第四種商業區,,,1091219,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821120,70.24,2,2,1,有,有,3550000,50541,,0.0,0,,RPOOMLMLJHGGFDE17DA,47.54,2.69,0.0,有,168
小港區,房地(土地+建物),民益路91~120號,29.89,都市：其他:第三種住宅區。,,,1100116,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690116,78.74,3,2,2,有,無,1950000,24765,,0.0,0,,RPQOMLSKKHGGFCE87DA,78.74,0.0,0.0,無,
