鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三重區,房地(土地+建物),龍門路241~270號,18.99,都市：其他:住宅區,,,1100101,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670404,73.0,2,2,1,有,無,7100000,97260,,0.0,0,,RPUPMLSJKHGGFGF78DA,73.0,0.0,0.0,無,
中和區,房地(土地+建物),民利街68巷1~30號,18.71,都市：其他:住宅區,,,1100107,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091113,140.9,3,2,2,有,有,17380000,123350,,0.0,0,,RPVPMLLLJHGGFHF38DA,83.07,5.85,6.96,有,
中和區,房地(土地+建物)+車位,民利街68巷1~30號,20.89,都市：其他:住宅區,,,1091228,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091113,173.34,3,2,2,有,有,19620000,128696,坡道平面,36.04,1950000,,RPPSMLLLJHGGFHF08DA,80.18,5.97,7.26,有,
中和區,房地(土地+建物),民利街68巷1~30號,12.79,都市：其他:住宅區,,,1100103,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091113,96.32000000000001,2,2,1,有,有,13560000,140781,,0.0,0,,RPWSMLLLJHGGFHF78DA,56.08,3.36,6.12,有,
中和區,房地(土地+建物)+車位,民利街68巷1~30號,21.63,都市：其他:住宅區,,,1091230,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091113,180.2,3,2,2,有,有,19500000,124902,坡道平面,39.29,1900000,,RPVUMLLLJHGGFHF88DA,83.07,5.85,6.96,有,
中和區,房地(土地+建物),中和路121~150號,4.59,都市：其他:商業區,,,1100111,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080522,49.79,1,1,1,有,有,8680000,174332,,0.0,0,,RPXQMLTKJHGGFHF76DA,30.41,1.73,2.07,有,086
中和區,房地(土地+建物)+車位,民利街68巷1~30號,15.46,都市：其他:住宅區,,,1091228,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091113,132.36,2,2,1,有,有,14400000,131333,坡道平面,36.04,1750000,,RPSQMLMLJHGGFHF28DA,56.08,3.36,6.12,有,
中和區,房地(土地+建物)+車位,民利街68巷1~30號,16.9,都市：其他:住宅區,,,1100101,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091113,143.37,2,2,1,有,有,14890000,121960,坡道平面,36.04,1800000,,RPVRMLMLJHGGFHF68DA,62.58,5.8,4.62,有,
蘆洲區,房地(土地+建物),中正路243巷7弄1~30號,25.65,都市：其他:住宅區,,,1100110,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760720,89.72,3,2,1,有,無,7200000,80250,,0.0,0,,RPQQMLSJKHGGFGF48DA,79.74,0.0,10.0,無,
三重區,土地,雙園段181~210地號,69.22,都市：其他:住宅區,,,1091221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500000,195030,,0.0,0,,RPUOMLTJKHGGFGF78DA,0.0,0.0,0.0,無,
三重區,房地(土地+建物),車路頭街139巷1~30號,27.4,都市：其他:住宅區,,,1091220,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690519,108.96,1,1,1,有,無,11000000,100954,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVOMLTJKHGGFGF88DA,95.96,13.0,0.0,無,
三重區,房地(土地+建物),車路頭街139巷1~30號,27.4,都市：其他:住宅區,,,1091220,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690519,108.96,3,1,1,有,無,9700000,89023,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWOMLTJKHGGFGF98DA,95.96,0.0,13.0,無,
三重區,房地(土地+建物),三和路四段135巷31~60號,21.47,都市：其他:住宅區,,,1091225,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780617,98.36,3,2,2,有,無,8300000,84384,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPXOMLRKKHGGFGF98DA,87.89,0.31,10.16,無,
三重區,房地(土地+建物),中正南路8巷1~30號,5.98,都市：其他:道路用地,,,1091228,土地4建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020122,53.71,2,1,1,有,有,9450000,175945,,0.0,0,,RPSOMLSJKHGGFGF48DA,28.57,1.44,3.24,有,087
三重區,房地(土地+建物),中興北街31~60號,145.0,都市：其他:乙種工業區,,,1091021,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0770305,281.39,3,2,2,有,無,37660000,133836,,0.0,0,1樓開放空間2樓三房兩廳兩衛增建一樓後半部、及3樓4樓頂樓加蓋;,RPTOMLSJKHGGFGF58DA,240.79,29.37,11.23,無,
三重區,房地(土地+建物),忠孝路一段10巷31~60號,44.0,都市：其他:住宅區,,,1091119,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0541212,84.66,3,2,1,有,無,8200000,96858,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;,RPUQMLOJKHGGFGF48DA,84.64,0.0,0.0,無,
三重區,房地(土地+建物)+車位,五華街87巷61~90號,21.52,都市：其他:住宅區,,,1091216,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850730,155.18,4,2,2,有,有,16100000,103750,坡道平面,0.0,0,,RPQNMLKMJHGGFGF57DA,99.73,0.35,7.6,有,
蘆洲區,房地(土地+建物)+車位,永安南路二段16巷1~30號,21.39,都市：其他:住宅區,,,1091229,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0910702,120.7,5,0,5,有,有,9500000,78708,坡道平面,0.0,0,陽台外推;,RPWSMLPJJHGGFGF88DA,62.14,0.62,5.91,有,
淡水區,房地(土地+建物)+車位,淡金路16巷91~120號,20.96,都市：其他:住宅區(二),,,1091230,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030211,132.4,3,2,2,有,有,11250000,84970,坡道平面,25.43,0,,RPOPMLRKKHGGFEF97DA,68.79,1.5,4.57,有,088
八里區,房地(土地+建物)+車位,文昌三街31~60號,20.76,都市：其他:第二種住宅區,,,1091228,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090911,130.20999999999998,2,2,1,有,有,8280000,70287,坡道平面,34.46,1550000,,RPUOMLTJKHGGFEF58DA,51.48,3.91,6.55,有,
八里區,房地(土地+建物)+車位,文昌三街1~30號,18.23,都市：其他:第二種住宅區,,,1100102,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090911,118.66,2,2,1,有,有,7400000,69477,坡道平面,34.46,1550000,,RPVOMLTJKHGGFEF68DA,47.04,3.62,3.84,有,089
八里區,房地(土地+建物)+車位,賢一街1~30號,107.27,都市：其他:第一種住宅區,,,1100101,土地1建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,1030113,266.67,5,3,4,有,無,19800000,74249,坡道平面,26.05,0,陽台外推;,RPWOMLTJKHGGFEF78DA,151.08,51.82,15.22,無,090
八里區,房地(土地+建物)+車位,文昌三街1~30號,21.49,都市：其他:第二種住宅區,,,1091231,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090911,133.72,2,2,1,有,有,8500000,70018,坡道平面,34.46,1550000,,RPXOMLTJKHGGFEF88DA,55.61,4.53,4.07,有,
八里區,房地(土地+建物)+車位,文昌三街1~30號,19.29,都市：其他:第二種住宅區,,,1091211,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090911,123.52,2,2,1,有,有,7680000,68830,坡道平面,34.46,1550000,,RPSNMLQJKHGGFEF97DA,50.12,4.05,3.47,有,
