鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中山區,房地(土地+建物),敬業二路69巷31~60號,10.17,都市：其他:商業區(供一般商業使用不得作住宅使用)。,,,1091218,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0961218,42.019999999999996,0,1,1,有,有,10800000,257020,,0.0,0,夾層;其他增建;,RPUOMLNJKHGGFCA27DA,24.06,1.68,0.0,有,003
中山區,房地(土地+建物),民生東路二段91~120號,27.31,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1091208,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0651206,172.49,4,2,2,有,有,24000000,139139,,0.0,0,,RPUNMLOJKHGGFCA27DA,138.07,0.0,17.04,有,
內湖區,房地(土地+建物),內湖路一段629巷12弄1~30號,27.42,都市：其他:第三種住宅區。,,,1091228,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701015,96.77,3,2,2,有,無,16160000,166994,,0.0,0,其他增建;,RPVNMLQJKHGGFCA57DA,83.01,0.0,13.76,無,
中山區,房地(土地+建物),北安路541~570號,20.45,都市：其他:第三種住宅區。,,,1100104,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670628,71.25,0,0,1,有,無,14480000,203228,,0.0,0,陽台外推;,RPPNMLRJKHGGFCA07DA,63.39,0.0,7.86,無,
內湖區,房地(土地+建物),文德路91~120號,29.45,都市：其他:第三種住宅區。,,,1100111,土地2建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881230,111.79,3,2,1,有,無,22800000,203954,,0.0,0,陽台外推;,RPRNMLSJKHGGFCA37DA,66.98,2.6,6.37,有,004
中山區,房地(土地+建物),長春路31~60號,6.19,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100122,土地6建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0651224,69.47,2,1,1,有,有,10080000,145099,,0.0,0,土地及建物交易總價1008萬元。六筆土地交易價格＄963萬元，建物交易含營業稅價格＄45萬元整。含土地增值稅或其他稅費;親友、員工、共有人或其他特殊關係間之交易;,RPQOMLTJKHGGFCA47DA,59.3,0.0,2.0,有,
中山區,房地(土地+建物)+車位,明水路691~720號,15.59,都市：其他:商業區(供一般商業使用不得作住宅使用)。,,,1091217,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970319,70.99,0,1,1,有,有,14900000,209889,坡道機械,0.0,0,,RPOSMLQLJHGGFCA47DA,30.54,1.76,3.13,有,
信義區,房地(土地+建物),永吉路127巷11弄1~30號,12.68,都市：其他:第三種住宅區。,,,1100108,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061130,57.25,1,1,1,有,有,16000000,279476,,0.0,0,,RPTOMLNJKHGGFDA27DA,23.51,2.13,4.25,有,
南港區,房地(土地+建物)+車位,向陽路258巷1~30號,34.95,都市：其他:住宅區(供住宅使用)。,,,1100106,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950803,172.76,3,2,2,有,有,29500000,170757,坡道平面,37.84,0,其他增建;,RPTNMLQJKHGGFDA47DA,85.0,4.0,9.19,有,
北投區,房地(土地+建物)+車位,中央北路三段40巷34弄1~30號,15.21,都市：其他:第三種住宅區。,,,1091220,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990806,92.17,2,2,1,有,有,12200000,132364,升降機械,0.0,0,其他增建;,RPOPMLLJKHGGFEA76DA,42.73,3.75,4.19,有,005
